data_name, n_samples, scenario, cf_label, trial, fold1 , fold2 , fold3 , fold4 , fold5 , avg_ate , tp_model_name, tp_loss_name, tp_n_epochs, tp_batch_size, tp_patience, tp_scheduler_patience, tp_scheduler_factor, tp_n_splits, tp_network_depth, tp_network_width, tp_use_u_statistic, tp_kernel_gamma, tp_learning_rate     , tp_l2_penalty
sgd      ,      5000,        1, sgd_cf  ,     3, 2.1718, 2.1473, 2.1848, 2.1287, 2.0395, 2.134403, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,     4, 2.0503, 2.1171, 2.0856, 2.0643, 2.0784, 2.07915 , nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,     5, 2.1359, 2.1506, 2.1155, 2.0884, 2.0745, 2.112991, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,     6, 2.0271, 2.0646, 2.1342, 2.1243, 2.121 , 2.094224, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,     7, 2.0359, 1.9661, 1.9954, 2.011 , 1.9709, 1.995866, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,     8, 2.0221, 2.0819, 2.0531, 2.043 , 2.1043, 2.060879, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,     9, 2.0143, 2.1046, 2.1609, 2.0272, 2.1072, 2.082848, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    10, 2.0437, 2.087 , 2.1132, 2.0324, 2.105 , 2.076255, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    11, 2.103 , 2.0829, 2.1521, 2.0532, 2.0444, 2.08713 , nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    12, 2.0069, 2.0233, 1.9473, 2.0124, 2.0027, 1.998499, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
