Trial,PIPW,POR,PDR
0,-1.1388204097747803,0.0,-1.1383777
1,-1.8215594291687012,0.0,-1.8201817
2,-2.290710687637329,0.0,-2.289042
3,-0.6766195893287659,0.0,-0.6778992
4,-1.6238703727722168,0.0,-1.6223099
5,-0.5756103992462158,0.0,-0.5766428
6,-1.5397371053695679,0.0,-1.5397764
7,-1.1848251819610596,0.0,-1.1844834
8,-1.4823626279830933,0.0,-1.481846
9,-1.0660425424575806,0.0,-1.0662327
10,-0.6858428120613098,0.0,-0.6856424
11,-0.977409839630127,0.0,-0.9775606
12,-1.3929404020309448,0.0,-1.3919715
13,-0.8606199622154236,0.0,-0.86069536
14,-2.09768009185791,0.0,-2.0960002
15,-1.0317597389221191,0.0,-1.0316274
16,-0.5898209810256958,0.0,-0.5909144
17,-1.9848265647888184,0.0,-1.982918
18,-0.6127995848655701,0.0,-0.6138286
19,-1.6082884073257446,0.0,-1.6067513
20,-1.3923532962799072,0.0,-1.391976
21,-0.8445945978164673,0.0,-0.8449791
22,-1.8270244598388672,0.0,-1.8256668
23,-2.195500135421753,0.0,-2.1932557
24,-1.125221848487854,0.0,-1.1256274
25,-1.934943675994873,0.0,-1.9336303
26,0.10984188318252563,0.0,0.108744405
27,-0.7891871929168701,0.0,-0.7887611
28,-1.1934467554092407,0.0,-1.1924733
29,-1.7603508234024048,0.0,-1.7596118
30,-0.6986010670661926,0.0,-0.69828236
31,-1.5981471538543701,0.0,-1.5972517
32,-0.42109036445617676,0.0,-0.41994828
33,-0.8861724734306335,0.0,-0.88578576
34,-1.2560718059539795,0.0,-1.2573543
35,-1.1655054092407227,0.0,-1.1654891
36,-1.0124475955963135,0.0,-1.0111648
37,-0.7159709334373474,0.0,-0.7156349
38,-1.6015775203704834,0.0,-1.6008384
39,-0.8935203552246094,0.0,-0.89365923
40,-1.1550267934799194,0.0,-1.1552079
41,-0.9219759106636047,0.0,-0.92322135
42,-1.5438446998596191,0.0,-1.5440251
43,-1.2095073461532593,0.0,-1.2097096
44,-0.9436612129211426,0.0,-0.9440706
45,-0.8028221726417542,0.0,-0.8012145
46,-1.446176290512085,0.0,-1.4453833
47,-2.0025768280029297,0.0,-2.0009358
48,-2.3510637283325195,0.0,-2.3500428
49,-0.9404160976409912,0.0,-0.93978584
50,-0.33848464488983154,0.0,-0.33943
51,-1.5568547248840332,0.0,-1.5551243
52,-0.7082408666610718,0.0,-0.70895386
53,-1.5904650688171387,0.0,-1.5883926
54,-1.245273232460022,0.0,-1.245112
55,-2.039010763168335,0.0,-2.03786
56,-1.014462947845459,0.0,-1.0142082
57,-1.6794112920761108,0.0,-1.6788429
58,-1.2196258306503296,0.0,-1.2195286
59,-1.7599025964736938,0.0,-1.7588761
60,-0.5112624764442444,0.0,-0.5123662
61,-1.2373552322387695,0.0,-1.2378544
62,-0.7932113409042358,0.0,-0.79296315
63,-0.5489462614059448,0.0,-0.5515781
64,-0.646079957485199,0.0,-0.64626706
65,-0.6706191301345825,0.0,-0.6712871
66,-0.6410159468650818,0.0,-0.6408023
67,-0.7739679217338562,0.0,-0.7737217
68,-2.33786678314209,0.0,-2.3336847
69,-1.16435706615448,0.0,-1.1642095
70,-1.028929352760315,0.0,-1.0294119
71,-0.6547214984893799,0.0,-0.6552199
72,-2.253239631652832,0.0,-2.2500732
73,-2.2233121395111084,0.0,-2.2216039
74,-1.7197585105895996,0.0,-1.7187632
75,-1.7703444957733154,0.0,-1.7690877
76,-1.8344050645828247,0.0,-1.8327904
77,-1.1110913753509521,0.0,-1.1106073
78,-0.6653865575790405,0.0,-0.6654616
79,-1.3679388761520386,0.0,-1.3680995
80,-1.681342363357544,0.0,-1.6800514
81,-1.252701997756958,0.0,-1.2522252
82,-0.2783391773700714,0.0,-0.2799192
83,-1.9587359428405762,0.0,-1.9580075
84,-1.4982558488845825,0.0,-1.4972078
85,-1.6603292226791382,0.0,-1.6596512
86,-2.237197160720825,0.0,-2.23591
87,-1.9098553657531738,0.0,-1.9089197
88,-1.4189361333847046,0.0,-1.4199083
89,-1.248004674911499,0.0,-1.2475433
90,-1.177075743675232,0.0,-1.1767932
91,-1.934465765953064,0.0,-1.9326208
92,-1.3480370044708252,0.0,-1.3478017
93,-0.9495745301246643,0.0,-0.94995743
94,-0.5753024220466614,0.0,-0.5762261
95,-0.7880113124847412,0.0,-0.7880575
96,-0.8506978750228882,0.0,-0.85083437
97,-0.8640986084938049,0.0,-0.8640251
98,-0.8931737542152405,0.0,-0.89375514
99,-0.6493386030197144,0.0,-0.6502223
