POR_s1            , PIPW_s1           , PDR_s1            , POR_s2            , PIPW_s2           , PDR_s2            , POR_s3            , PIPW_s3           , PDR_s3            , POR_s4            , PIPW_s4           , PDR_s4
1.9840753534286502, 1.9845828365909828, 1.9845828365909823, 1.9129624759529662, 1.887719423802002 , 1.8877194238020012, 1.9860513815178362, 1.9930918330669105, 1.9930918330669105, 2.1728586837024224, 2.1695298774500964, 2.16952987745009
1.9471765276277904, 1.9444904782057495, 1.9444904782057495, 1.933101963121942 , 1.949492571685597 , 1.9494925716855964, 1.936195208119071 , 1.9305950497863817, 1.9305950497863948, 2.1148550875452585, 2.1272924727731937, 2.1272924727731892
1.9897318267207695, 1.9886043742847912, 1.9886043742847912, 2.01179532499917  , 2.019602503983356 , 2.019602503983355 , 1.9913850015322874, 1.9978749438525873, 1.9978749438525873, 2.2027157926344927, 2.1899391057260553, 2.189939105726056
1.994749712975152 , 1.9925142210834874, 1.9925142210834874, 2.1846707872215774, 2.182480086275825 , 2.1824800862758247, 1.9959472002073224, 1.9919525023759772, 1.9919525023759828, 2.296038808668712 , 2.2918543326158343, 2.2918543326158347
1.9829524419851476, 1.9849018727581489, 1.9849018727581487, 1.9230661893357845, 1.9480309184682518, 1.9480309184682527, 2.0081396287381885, 2.0131754700270217, 2.013175470027028 , 2.120305816721462 , 2.124882172539285 , 2.1248821725392855
1.9994947465681148, 1.9997744219821791, 1.9997744219821791, 2.0350179445554772, 2.0269745131652437, 2.0269745131652432, 1.9849943880017815, 1.987792030528171 , 1.987792030528167 , 2.18599648868458  , 2.179073463600991 , 2.1790734636009903
1.9903491584414321, 1.9958773062571087, 1.9958773062571087, 2.031903859488253 , 2.017474100557098 , 2.0174741005570977, 1.9935247058531536, 1.9994197979189456, 1.9994197979189456, 2.1773298333406217, 2.179945068457172 , 2.179945068457173
2.0077476454936054, 2.0080399591653286, 2.0080399591653286, 2.0331814586130292, 2.036712605398228 , 2.0367126053982276, 1.9996879087616892, 1.9949064394500675, 1.9949064394500715, 2.1801048442914563, 2.181320693912884 , 2.181320693912882
2.006665026595808 , 2.0048049436580393, 2.004804943658039 , 2.1073975855671705, 2.1043252060603312, 2.1043252060603317, 2.020097201587661 , 2.0105818962836985, 2.0105818962836963, 2.2262332659202144, 2.222962954968539 , 2.2229629549685392
2.0049696432103055, 1.999927734496577 , 1.999927734496577 , 2.042008233167067 , 2.0445897721114457, 2.0445897721114448, 2.0154473706805156, 2.0169905702199817, 2.0169905702199795, 2.184355992008392 , 2.1777741804411517, 2.1777741804411503
2.0549409208340847, 2.0558584794947654, 2.0558584794947654, 2.12907077391489  , 2.1305263380127815, 2.1305263380127806, 2.0534114449946657, 2.0491878414226403, 2.0491878414226377, 2.2019009157311658, 2.204238315955338 , 2.204238315955339
1.9881784818407806, 1.988761611393223 , 1.988761611393222 , 1.9579102045172618, 1.9621396533831899, 1.9621396533831896, 1.9662997248932685, 1.9672167593071794, 1.9672167593071817, 2.17156492137223  , 2.167483261237224 , 2.1674832612372246
1.9817212998395648, 1.9815767594649474, 1.9815767594649478, 2.0748468339656227, 2.090742719877033 , 2.090742719877033 , 1.9796390380697215, 1.9860480823861515, 1.986048082386149 , 2.2128893035290673, 2.2202976281285896, 2.2202976281285887
2.0256462851172676, 2.027638552929606 , 2.027638552929606 , 2.274365349914177 , 2.2773258385051447, 2.2773258385051447, 2.0338315750371514, 2.0397995356121146, 2.0397995356121106, 2.3588599780547526, 2.3601053833405197, 2.3601053833405197
1.9864321239262288, 1.9873859376803775, 1.9873859376803782, 2.0016699951043506, 2.01501162496518  , 2.01501162496518  , 1.988707209729714 , 1.9847474536130776, 1.9847474536130776, 2.181328152008085 , 2.183720957887553 , 2.183720957887553
1.9988867275657431, 1.9968797935551181, 1.9968797935551177, 1.8776768662386871, 1.8948523192730706, 1.8948523192730706, 2.0092939053753227, 2.0099614770274514, 2.0099614770274545, 2.067283556600529 , 2.07708283229548  , 2.077082832295483
1.9918019495702501, 1.994083723657724 , 1.9940837236577234, 2.019702821690146 , 2.0247710369580725, 2.0247710369580716, 1.9765254611430267, 1.9851863684480953, 1.985186368448089 , 2.197436096122466 , 2.1997391228264953, 2.1997391228264935
1.9711823562077293, 1.970415240078235 , 1.9704152400782358, 2.076081920464574 , 2.090715641158856 , 2.090715641158856 , 1.9812271712153597, 1.977640131904561 , 1.9776401319045642, 2.2241360024241743, 2.228853039555721 , 2.2288530395557276
1.9703593640296542, 1.9720292821301693, 1.97202928213017  , 1.9682023265592077, 1.9789762401907647, 1.9789762401907651, 1.9512107279848439, 1.957067346949117 , 1.957067346949123 , 2.135681628548433 , 2.1349437506655593, 2.134943750665554
1.9864752651943502, 1.9847161461925713, 1.9847161461925709, 1.9521924012151572, 1.9613399721494311, 1.9613399721494305, 1.9778192140686963, 1.9778636613849871, 1.977863661384989 , 2.1131167508828455, 2.11240369826593  , 2.112403698265929
2.0211362209104466, 2.0230418378398065, 2.023041837839807 , 2.2445869376375924, 2.2469116360446395, 2.24691163604464  , 2.021786796349499 , 2.028070900013953 , 2.028070900013953 , 2.3034592474332456, 2.3038621004314135, 2.3038621004314135
2.0122413159837   , 2.0141843103101333, 2.014184310310133 , 1.9883641113405588, 1.9676887433009957, 1.967688743300995 , 2.014785049670479 , 2.0147736850050117, 2.014773685005016 , 2.191221133518333 , 2.171298271065949 , 2.1712982710659463
1.987069453808395 , 1.9877027980673105, 1.9877027980673105, 2.0635982231130754, 2.066618455994054 , 2.0666184559940546, 1.9717957964387738, 1.9721400725626146, 1.9721400725626115, 2.2011737874228956, 2.19734110667834  , 2.1973411066783455
1.9831205858899543, 1.982092308357622 , 1.9820923083576225, 1.8732883655745667, 1.8816077247200853, 1.881607724720085 , 1.9746645916347518, 1.9691133910924945, 1.969113391092496 , 2.1262990293284005, 2.097033120902321 , 2.0970331209023256
1.981050372440443 , 1.9777853586895755, 1.9777853586895755, 1.9903832597416053, 2.0256250564065623, 2.0256250564065623, 1.980973324280804 , 1.988021658300138 , 1.9880216583001413, 2.187883706934791 , 2.2018649992087806, 2.201864999208783
2.0112194977147424, 2.0072722545372454, 2.0072722545372454, 2.135435851668589 , 2.13576819565343  , 2.135768195653429 , 2.0085533305470156, 1.9959401200800804, 1.995940120080077 , 2.262158124685037 , 2.2608886938658905, 2.2608886938658928
1.9721610108356733, 1.9750739563030266, 1.9750739563030266, 1.9050819157329644, 1.9256344650043884, 1.925634465004388 , 1.9642426366986256, 1.973174458388561 , 1.9731744583885655, 2.130873810492538 , 2.129566107957791 , 2.1295661079577926
2.0051234179101973, 2.001169254867643 , 2.001169254867644 , 1.7581569923854232, 1.692730870572538 , 1.6927308705725383, 2.010437440967306 , 1.9893432718885575, 1.9893432718885586, 2.0557164535342167, 2.0018240934715434, 2.0018240934715426
2.0058519296885935, 2.0019591042826645, 2.0019591042826645, 2.2269643424799455, 2.2333899717576498, 2.23338997175765  , 2.0203830191225656, 2.020070226125828 , 2.0200702261258305, 2.3141903469134846, 2.3140906518819153, 2.3140906518819144
2.025902452603243 , 2.026934248167687 , 2.0269342481676866, 2.0691864953799524, 2.066464628813016 , 2.066464628813017 , 2.0329718111919317, 2.0343070658884255, 2.034307065888424 , 2.227325420480298 , 2.2261486867237616, 2.226148686723764
2.0052219347737106, 1.999766629515052 , 1.9997666295150514, 2.1366462020853305, 2.1489114336954027, 2.148911433695403 , 2.0007416835045193, 2.0063422039864016, 2.0063422039864025, 2.26756764012044  , 2.263299018594285 , 2.2632990185942816
